RSU,MSE,ROUND
10,2.656547621882055e-05,1
11,1.0621833098412026e-05,1
6,1.1526410162332468e-05,1
2,1.1260264727752656e-05,1
8,1.1217995051993057e-05,1
5,9.02252668311121e-06,1
1,1.469563903810922e-05,1
7,1.972256177396048e-05,1
4,1.30394400912337e-05,1
0,1.842571873567067e-05,1
9,1.3828637747792527e-05,1
12,1.5011973118816968e-05,1
3,1.583920129633043e-05,1
3,1.2695457371592056e-05,2
9,1.1107747013738845e-05,2
10,2.4215329176513478e-05,2
12,1.1811514923465438e-05,2
5,6.622599357797299e-06,2
1,1.139418327511521e-05,2
0,1.5624014849890955e-05,2
8,8.910352335078642e-06,2
4,1.031141982821282e-05,2
6,9.235587640432641e-06,2
7,1.7187607227242552e-05,2
11,8.289031029562466e-06,2
2,8.320400411321316e-06,2
12,1.1243562767049298e-05,3
4,9.684044925961643e-06,3
10,2.330210008949507e-05,3
6,8.597315172664821e-06,3
0,1.4886269127600826e-05,3
11,7.680757335037924e-06,3
9,1.050086666509742e-05,3
3,1.2080364285793621e-05,3
2,7.876329618738964e-06,3
7,1.632049861655105e-05,3
8,8.264644748123828e-06,3
5,6.029477845004294e-06,3
1,1.0830046448973008e-05,3
7,1.624325341254007e-05,4
6,8.55943562783068e-06,4
4,9.657645932747982e-06,4
2,7.891687346273102e-06,4
10,2.323358967259992e-05,4
0,1.4850738807581365e-05,4
8,8.225286364904605e-06,4
9,1.0491078683116939e-05,4
5,6.0107795434305444e-06,4
12,1.1234481462452095e-05,4
11,7.636420377821196e-06,4
1,1.0843825293704867e-05,4
3,1.2046669326082338e-05,4
11,7.777507562423125e-06,5
2,8.592991434852593e-06,5
1,1.1643230209301692e-05,5
6,8.711826922080945e-06,5
10,2.33055015996797e-05,5
12,1.2000591596006416e-05,5
7,1.6383681213483214e-05,5
8,8.390697075810749e-06,5
3,1.2795119801012333e-05,5
9,1.1022417311323807e-05,5
4,1.007085302262567e-05,5
5,6.2408448684436735e-06,5
0,1.5201182577584404e-05,5
