RSU,TIME,ROUND
6,178.834097923,1
3,176.18146098900002,1
4,177.25095011899998,1
12,177.611755746,1
5,169.393408091,1
11,178.244256882,1
8,178.874872501,1
10,170.01273398,1
7,177.584232542,1
0,178.39105114999998,1
2,177.585971419,1
1,178.01617560900002,1
9,177.91488241000002,1
12,178.126930069,2
0,169.314294087,2
9,178.20000156700002,2
2,177.76231641599998,2
10,178.59428192599998,2
4,177.851331794,2
5,177.64076219599997,2
3,177.33535732100003,2
7,177.44255666600003,2
11,161.09420060800002,2
8,178.98169729900002,2
6,178.41176304399997,2
1,178.28467754799996,2
12,178.05509488700005,3
10,171.57412614399993,3
4,171.485656881,3
11,179.595747249,3
8,179.88016523800002,3
7,178.35374208500002,3
3,178.20535133200002,3
2,178.86811738399996,3
9,179.467695052,3
5,171.71213086099993,3
0,172.70410463400003,3
6,179.15067266899996,3
1,179.31952766400002,3
12,178.37355198900002,4
4,180.24951848399996,4
1,180.63105085400002,4
5,178.784441183,4
2,180.26750648300003,4
10,180.67470762799996,4
7,179.69672700700005,4
0,180.19841143899998,4
8,181.09001439899998,4
9,172.938647876,4
6,180.62410306200002,4
3,171.18191355099998,4
11,181.16223160999994,4
11,181.08408775400005,5
9,180.64397641699998,5
10,181.02135902999999,5
5,179.349224435,5
6,180.800711751,5
4,178.78478066499997,5
7,179.83819568299998,5
2,180.32116410499998,5
0,180.529002957,5
3,171.29476838099993,5
8,181.3482158569999,5
12,178.75880453900004,5
1,180.94596140200008,5
