RSU,MSE,ROUND
5,1.803130544431042e-06,1
0,1.803130544431042e-06,1
1,1.803130544431042e-06,1
2,1.803130544431042e-06,1
4,1.803130544431042e-06,1
3,1.803130544431042e-06,1
4,2.591909797899916e-08,2
1,2.591909797899916e-08,2
3,2.591909797899916e-08,2
0,2.591909797899916e-08,2
5,2.591909797899916e-08,2
2,2.591909797899916e-08,2
2,3.9037450960677234e-07,3
5,3.9037450960677234e-07,3
4,3.9037450960677234e-07,3
0,3.9037450960677234e-07,3
1,3.9037450960677234e-07,3
3,3.9037450960677234e-07,3
0,7.888529296451452e-08,4
3,7.888529296451452e-08,4
1,7.888529296451452e-08,4
4,7.888529296451452e-08,4
5,7.888529296451452e-08,4
2,7.888529296451452e-08,4
2,4.74140620099206e-08,5
5,4.74140620099206e-08,5
3,4.74140620099206e-08,5
4,4.74140620099206e-08,5
0,4.74140620099206e-08,5
1,4.74140620099206e-08,5
