RSU,TIME,ROUND
3,135.052051646,1
5,135.443706374,1
2,134.439624852,1
1,133.70026721699998,1
0,134.485086323,1
4,134.716717733,1
1,139.019636239,2
0,138.97176973599997,2
3,139.59276914699998,2
2,138.94977892400001,2
5,139.68099096599997,2
4,139.77402459700002,2
2,141.32842611700005,3
0,141.411476305,3
4,141.939659838,3
1,141.432814355,3
5,141.911064462,3
3,141.81229260100002,3
3,142.69196854600006,4
2,141.17850531200003,4
0,142.183093816,4
4,142.95682619200005,4
5,142.86701601699997,4
1,142.16835467700002,4
0,142.56397713499996,5
5,142.878011324,5
4,142.97281652499998,5
1,142.35459143499997,5
2,141.41223410099997,5
3,142.85926101099994,5
