RSU,MSE,ROUND
23,3.118074118901859e-06,1
1,1.7342736100545153e-05,1
16,1.2734541087411344e-05,1
5,5.474980207509361e-05,1
11,1.0165800631511956e-05,1
2,3.118074118901859e-06,1
20,3.118074118901859e-06,1
32,3.118074118901859e-06,1
13,3.118074118901859e-06,1
24,4.649833499570377e-05,1
39,1.2055756997142453e-05,1
38,3.118074118901859e-06,1
6,3.118074118901859e-06,1
18,1.1723272109520622e-05,1
35,1.2920921108161565e-05,1
19,3.118074118901859e-06,1
10,1.085002895706566e-05,1
25,4.704152888734825e-05,1
31,1.1096354683104437e-05,1
26,4.6358291001524776e-05,1
9,3.118074118901859e-06,1
8,3.118074118901859e-06,1
17,1.2533138033177238e-05,1
29,1.3300327736942563e-05,1
3,2.3465165213565342e-05,1
15,1.1584402273001615e-05,1
14,3.118074118901859e-06,1
33,1.135029197030235e-05,1
34,3.3527678169775754e-05,1
22,5.844392580911517e-05,1
4,1.2022366718156263e-05,1
7,1.7953145288629457e-05,1
28,3.118074118901859e-06,1
12,1.370431618852308e-05,1
30,1.3610811947728507e-05,1
36,1.3075824426778127e-05,1
27,3.064401607844047e-05,1
37,4.476681715459563e-05,1
0,1.573223198647611e-05,1
21,1.1416706001909915e-05,1
22,0.0001381534239044413,2
27,0.00011475213250378147,2
20,1.8483302000049662e-08,2
2,1.8483302000049662e-08,2
9,1.8483302000049662e-08,2
3,6.056509300833568e-05,2
8,1.8483302000049662e-08,2
5,0.00010447620297782123,2
21,0.00011914435162907466,2
33,0.00012132789561292157,2
31,0.00011968402395723388,2
26,6.527320510940626e-05,2
19,1.8483302000049662e-08,2
4,0.00012298072397243232,2
38,1.8483302000049662e-08,2
16,2.2947911929804832e-05,2
32,1.8483302000049662e-08,2
15,0.00012122830230509862,2
35,0.00012530028470791876,2
39,0.00011215648555662483,2
1,2.03920244530309e-05,2
12,3.0040049750823528e-05,2
36,0.00010210968321189284,2
7,0.00013353135727811605,2
25,4.852188067161478e-05,2
10,0.00012018264533253387,2
34,5.8101973991142586e-05,2
13,1.8483302000049662e-08,2
14,1.8483302000049662e-08,2
17,0.00012059372966177762,2
37,0.0001320099545409903,2
29,0.00011982099385932088,2
11,0.00011755066952900961,2
0,0.000124150697956793,2
24,0.00011850815644720569,2
28,1.8483302000049662e-08,2
6,1.8483302000049662e-08,2
