RSU,TIME,ROUND
1,200.084441677,1
11,199.215302664,1
24,193.163855298,1
12,188.18116602799998,1
2,199.059279544,1
14,199.739698605,1
10,200.573713547,1
37,195.992275155,1
27,188.88886389799998,1
22,191.99343860800002,1
19,200.641068759,1
31,194.557297575,1
17,197.72588083,1
9,200.072805223,1
7,192.371833251,1
35,196.857363992,1
20,189.558781409,1
36,199.550864293,1
39,196.976027878,1
3,187.163099197,1
23,197.411249952,1
13,192.864306369,1
34,200.979909862,1
33,199.61125194,1
28,190.85812091600002,1
16,197.047081222,1
25,187.07997447099999,1
8,199.82574016,1
4,197.303844491,1
38,191.98096911300001,1
29,189.828248271,1
0,192.12803361899998,1
32,192.623996239,1
21,200.57247503600001,1
15,193.04428863700002,1
6,197.015340652,1
30,200.323815701,1
18,201.927658283,1
26,188.421984506,1
5,201.129522587,1
37,191.66077027600002,2
33,197.03516764999998,2
11,198.48479395299998,2
16,196.975937485,2
31,197.809346971,2
7,196.76285902900003,2
23,198.181176434,2
25,190.85725249700002,2
36,197.22698882100002,2
38,195.986760572,2
0,186.334200684,2
30,198.163772901,2
17,196.20021602099996,2
35,190.86656396900003,2
39,197.45160275099997,2
4,189.319895988,2
24,191.390251357,2
15,197.23610240499997,2
10,191.884783719,2
19,198.471028606,2
32,190.87918097000002,2
6,197.658543096,2
34,198.15376186199998,2
8,191.50632963099997,2
29,191.13581321400002,2
5,197.619421797,2
27,190.89353914699998,2
18,195.61067584300002,2
3,191.39856218800003,2
26,191.15550748500002,2
1,196.825464117,2
2,197.78338515500002,2
13,198.20727403100003,2
12,191.08009914699997,2
22,191.49340135599996,2
28,197.002795858,2
14,192.15712208,2
9,197.388686706,2
20,196.996752945,2
21,198.013860989,2
23,198.77992422700004,3
4,194.91714674000002,3
32,191.46438916399995,3
14,191.575715091,3
13,198.315376238,3
28,191.69686984499998,3
19,198.78492610599994,3
20,191.30032078100004,3
16,197.68223720599997,3
38,197.04054528800003,3
36,197.60507937499995,3
12,197.51463063100005,3
37,188.20953860599997,3
10,197.46816263099993,3
15,197.574823724,3
22,197.00451245399995,3
7,195.12391207900004,3
34,198.22213230100004,3
0,197.065499079,3
3,197.56584136499998,3
33,191.30962916900006,3
18,196.63626488400007,3
24,197.81450853,3
2,197.54987836799995,3
17,196.524264861,3
6,191.55856165799997,3
27,196.49151630400002,3
39,191.37326813599998,3
9,191.51976593699993,3
21,192.582725902,3
11,198.811482464,3
1,188.02292999899998,3
8,197.74995461500004,3
35,191.65238673100004,3
31,189.426025433,3
29,189.345461263,3
30,198.01914156899994,3
5,191.69742999599998,3
26,191.851055289,3
25,197.38326668700006,3
1,175.14624493200006,4
4,194.171334883,4
30,198.42247914199993,4
9,190.92785319400002,4
2,198.07995149500005,4
36,190.40208687400002,4
16,190.106539289,4
31,188.704866949,4
11,198.60142650699993,4
0,190.882665933,4
8,197.57209537099993,4
18,196.90557698599991,4
3,198.32283346999998,4
14,196.36383124099996,4
19,198.698096158,4
28,188.09121675899996,4
39,190.72245522800006,4
29,198.26682223299997,4
23,197.95681055700004,4
17,190.75822308599993,4
32,190.296483244,4
27,196.38430151299997,4
22,196.842137569,4
12,190.50077112999998,4
15,186.79638664800007,4
21,199.21027645800007,4
34,198.24277467499996,4
6,197.78502366600003,4
37,197.80001640799992,4
25,196.49572433600008,4
10,191.29074707400002,4
38,196.58835257399994,4
5,191.458579215,4
13,198.34650207999994,4
33,191.34471630899998,4
35,191.54658481800004,4
7,193.86401200199998,4
24,198.1515550160001,4
26,197.44355521299997,4
20,197.25097191199995,4
24,301.701025306,5
31,300.20751644099994,5
36,192.1342958990001,5
19,191.40427739300003,5
18,299.46883219999995,5
15,301.66729682300013,5
6,191.75131646599993,5
30,303.33528191799985,5
21,302.08938517700005,5
20,300.46728781799993,5
2,189.57734371899994,5
16,187.01355832599995,5
1,297.813666204,5
8,300.12944139599995,5
23,192.458813189,5
14,299.14394360699987,5
17,191.04271963700012,5
27,190.22302104999994,5
9,304.28114667599993,5
22,300.44610792000003,5
4,298.878781279,5
0,191.07368896999992,5
39,191.8466212589999,5
13,191.9578715030001,5
7,298.4818568180001,5
35,302.088251896,5
37,190.18954916500013,5
3,190.69055177999996,5
5,298.573642277,5
28,191.79702183300014,5
38,304.44356844799995,5
12,299.80692718299997,5
34,301.7547336880001,5
29,191.90975175799997,5
33,301.6935856680001,5
26,191.108774992,5
11,301.07354461800014,5
10,300.911401004,5
25,299.49978036000005,5
32,299.559847053,5
