RSU,MSE
RSU_13,0.0
RSU_12,1.5546170652196093e-05
RSU_38,0.0
RSU_10,2.032375925926261e-06
RSU_11,3.4869821750056714e-06
RSU_39,1.0765736301561914e-05
RSU_15,3.025384270838483e-06
RSU_29,9.300236788146818e-06
RSU_28,0.0
RSU_14,0.0
RSU_16,1.3078436534487693e-05
RSU_17,6.7877989977188626e-06
RSU_58,1.0382531713630678e-05
RSU_64,8.104648095575627e-06
RSU_70,1.5850012206792193e-05
RSU_71,0.0
RSU_65,7.475807656389738e-06
RSU_59,2.306537732528412e-05
RSU_8,1.1259875948646525e-07
RSU_73,1.3523941645950726e-06
RSU_67,8.481814367249094e-06
RSU_66,0.0
RSU_72,1.9505727352539113e-05
RSU_9,0.0
RSU_76,2.7978635010098367e-05
RSU_62,0.0
RSU_63,1.2938720079487068e-05
RSU_77,6.221207117981569e-06
RSU_88,1.928092631323977e-05
RSU_61,1.2179405511907434e-05
RSU_75,1.4746756548823354e-05
RSU_49,5.550967888045324e-05
RSU_48,1.606682621565174e-05
RSU_74,0.0
RSU_60,3.79136002592586e-06
RSU_86,1.4838414552754658e-05
RSU_79,1.771916688004566e-06
RSU_2,0.0
RSU_45,9.291861074278294e-06
RSU_51,1.2140072274448808e-06
RSU_50,0.0
RSU_3,3.1424916790441716e-05
RSU_44,4.2298178003965646e-05
RSU_78,6.248035697575722e-05
RSU_87,9.051784681622332e-06
RSU_85,5.580972918792454e-06
RSU_52,0.0
RSU_46,5.3893923560277296e-06
RSU_1,1.6800018913779317e-05
RSU_47,7.997241441199651e-06
RSU_0,1.110498895133423e-05
RSU_53,2.828969186358071e-06
RSU_84,0.0
RSU_80,1.0900418675017475e-05
RSU_57,5.345543049510212e-06
RSU_4,3.3655145899897073e-06
RSU_43,3.7985283847309333e-06
RSU_5,6.840871887670839e-05
RSU_42,0.0
RSU_56,4.441951009564684e-05
RSU_81,4.648087897281004e-05
RSU_83,0.0
RSU_40,0.0
RSU_7,9.58627458310062e-06
RSU_54,5.708568892152642e-06
RSU_68,1.5283006853369708e-05
RSU_69,1.9131120552904187e-05
RSU_55,0.0
RSU_41,4.4542392572063254e-06
RSU_6,0.0
RSU_82,1.1754372531135983e-05
RSU_26,5.380950356768746e-05
RSU_32,0.0
RSU_33,2.60160571286697e-06
RSU_27,3.804598278948327e-05
RSU_19,0.0
RSU_31,4.274005805461409e-06
RSU_25,4.8532762810069215e-05
RSU_24,5.672807404630625e-05
RSU_30,1.0711209141513884e-05
RSU_18,5.952229808722469e-06
RSU_34,3.7274225795157165e-05
RSU_20,0.0
RSU_21,5.175759435021314e-06
RSU_35,4.296365824111863e-06
RSU_23,0.0
RSU_37,5.320639665605145e-05
RSU_36,1.3794813711175838e-05
RSU_22,6.953792578445949e-05
