rsu,time
RSU_13,190.60265900000013
RSU_12,189.7544400000006
RSU_38,187.74122599999828
RSU_10,188.99589899999773
RSU_11,186.96061900000132
RSU_39,187.88544099999854
RSU_15,189.73117800000182
RSU_29,195.08564399999887
RSU_28,194.90062500000204
RSU_14,193.99906000000192
RSU_16,195.1208289999995
RSU_17,193.09547299999758
RSU_58,195.3040000000001
RSU_64,190.1934910000018
RSU_70,189.08531900000162
RSU_71,187.35214599999745
RSU_65,193.60357999999906
RSU_59,195.4572100000005
RSU_8,193.4666529999995
RSU_73,192.25858199999857
RSU_67,191.96683499999926
RSU_66,193.72730500000034
RSU_72,192.27197700000033
RSU_9,191.97088799999983
RSU_76,192.4790240000002
RSU_62,193.12015400000018
RSU_63,188.5891210000009
RSU_77,192.18096199999854
RSU_88,193.74995000000126
RSU_61,190.76225200000044
RSU_75,197.2551280000007
RSU_49,196.44159099999888
RSU_48,192.83224499999778
RSU_74,191.16091700000106
RSU_60,191.69044100000247
RSU_86,194.8202769999989
RSU_79,197.3891509999994
RSU_2,193.90545199999906
RSU_45,194.78285000000324
RSU_51,196.1997080000001
RSU_50,193.68169399999897
RSU_3,193.73981800000183
RSU_44,202.48489799999516
RSU_78,200.31527500000084
RSU_87,193.0780240000022
RSU_85,202.15630999999848
RSU_52,200.65175399999862
RSU_46,194.15218599999935
RSU_1,197.8579200000022
RSU_47,196.0152769999986
RSU_0,196.0256309999968
RSU_53,188.77061500000127
RSU_84,195.06101900000067
RSU_80,195.12556799999584
RSU_57,194.62132900000142
RSU_4,193.34597599999688
RSU_43,194.41236100000242
RSU_5,193.06659000000218
RSU_42,189.01410000000033
RSU_56,187.72481800000241
RSU_81,188.01127100000303
RSU_83,195.92792700000427
RSU_40,189.22693399999844
RSU_7,188.74333299999853
RSU_54,191.02926599999773
RSU_68,194.2774600000048
RSU_69,195.48400099999708
RSU_55,193.64806699999463
RSU_41,192.51005499999883
RSU_6,192.27664099999674
RSU_82,191.55698100000154
RSU_26,189.89604099999997
RSU_32,194.49143200000253
RSU_33,190.94701899999927
RSU_27,189.74585800000204
RSU_19,191.65769499999442
RSU_31,190.57008900000073
RSU_25,187.5666129999954
RSU_24,188.05112699999881
RSU_30,191.3593949999995
RSU_18,190.07642900000064
RSU_34,187.80739300000278
RSU_20,187.73398100000486
RSU_21,189.43007000000216
RSU_35,189.46885699999984
RSU_23,192.0216170000058
RSU_37,192.3465120000037
RSU_36,191.9776309999943
RSU_22,188.81247299999814
